"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"7950000US3604010","NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York","134970","2401","124872","2424","3879","795","116744","2308","290","240","1792","378","0","28","556","249","1611","403","320","158","1291","371","10098","1357","1752","609","3255","611","43","40","89","128","0","28","4563","957","396","183","178","121","218","130"
"7950000US3604012","NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York","140195","3544","85077","2760","34255","1564","4090","1044","90","75","43767","2010","18","33","593","292","2264","478","399","231","1865","390","55118","2320","24575","1781","1344","323","626","306","56","49","0","28","26062","2166","2455","764","1366","719","1089","279"
"7950000US3604013","NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York","122743","2198","101862","2134","65944","1663","2884","669","164","126","30091","1476","71","60","266","146","2442","397","266","126","2176","388","20881","1405","9693","1064","397","158","295","168","141","94","14","23","8521","997","1820","501","899","391","921","272"
"7950000US3604015","NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York","157511","2614","133546","2787","64060","2136","48600","1969","59","63","16036","1646","27","41","954","296","3810","614","279","166","3531","578","23965","1921","7447","1075","2804","556","330","225","121","103","0","28","12465","1624","798","215","383","137","415","152"
"7950000US3604017","NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York","189058","2392","158297","2249","73609","2231","2152","387","281","146","77438","2209","19","26","566","395","4232","798","92","83","4140","786","30761","2241","10828","1252","574","240","312","220","401","178","18","21","17551","2192","1077","353","682","290","395","146"
"7950000US3604101","NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York","163960","2758","122328","2587","81180","1880","10909","1308","93","68","25438","1521","97","111","862","362","3749","438","398","157","3351","448","41632","1828","21457","1513","1592","393","406","249","181","84","28","30","15687","1569","2281","389","1255","360","1026","222"
"7950000US3604102","NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York","171657","3627","58336","2105","17810","1103","8532","944","187","112","29513","1746","6","11","388","152","1900","415","277","175","1623","393","113321","3693","50737","3618","1958","520","957","397","347","215","92","75","56015","3149","3215","644","1800","477","1415","383"
"7950000US3604103","NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York","242631","3451","199452","3093","58986","1838","4623","786","581","322","130623","2514","123","100","938","314","3578","799","383","217","3195","760","43179","2501","16041","1455","1020","368","215","119","379","181","9","19","22749","1977","2766","662","1943","619","823","347"
"7950000US3604105","NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York","202745","2838","176266","2915","21472","1104","110930","2446","956","387","31895","1708","148","137","5255","916","5610","832","2430","551","3180","540","26479","1605","9632","1081","3564","521","440","221","176","104","43","70","10777","1259","1847","477","993","282","854","373"
"7950000US3604106","NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York","164041","2789","131830","2954","47976","1814","20214","1542","439","243","56074","2575","26","34","2143","693","4958","704","601","225","4357","659","32211","2064","11698","1460","1757","464","472","340","421","258","0","28","15477","1883","2386","766","1349","616","1037","408"
"7950000US3604107","NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York","139682","3086","64845","2522","8205","963","7583","1110","336","279","46366","2093","0","28","660","295","1695","510","580","374","1115","409","74837","3264","29286","2202","1599","565","649","350","714","481","0","28","40184","3199","2405","910","1119","379","1286","832"
"7950000US3604108","NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York","115881","2397","98166","2324","54921","1666","3505","778","53","61","34924","1478","0","28","334","140","4429","799","271","130","4158","769","17715","1271","11746","1226","381","143","138","91","187","93","0","28","3960","757","1303","341","584","238","719","256"
"7950000US3604109","NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York","135380","2548","93807","2582","38879","1574","2307","433","192","154","48921","2040","10","17","571","171","2927","542","211","139","2716","512","41573","2074","27154","2237","799","312","289","152","316","144","0","28","11319","1165","1696","395","769","280","927","309"
"7950000US3604110","NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York","186568","2791","116786","2227","95430","1989","2667","502","148","87","15600","1072","0","28","590","236","2351","515","278","150","2073","480","69782","2344","50159","2428","1306","335","305","144","90","53","29","46","14806","1420","3087","649","1672","458","1415","348"
"7950000US3604111","NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York","148027","2550","84184","2295","25950","1170","8736","847","621","261","37837","1536","77","66","6559","879","4404","651","1647","435","2757","542","63843","2457","27779","1883","1891","469","457","195","166","99","0","28","29121","1918","4429","785","3529","717","900","256"
"7950000US3604112","NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York","237303","3150","199107","3209","4534","706","145015","2614","549","271","31193","2261","156","121","11740","1410","5920","875","2190","529","3730","640","38196","2226","6961","1022","4067","583","193","133","79","66","53","79","25314","1889","1529","387","767","248","762","275"
"7950000US3604113","NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York","132943","3172","98965","2666","29025","1374","18739","1365","601","241","33539","1951","124","136","11202","1368","5735","881","2321","538","3414","719","33978","2094","15224","1404","1502","423","129","94","394","190","0","28","14265","1599","2464","525","1524","514","940","258"
"7950000US3604114","NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York","128437","3216","97563","3157","42982","2148","46910","2644","199","225","4548","954","38","53","1080","549","1806","469","208","150","1598","430","30874","2289","16107","1887","2710","710","380","237","108","83","0","28","9957","1613","1612","408","1141","325","471","262"
