YEAR,TRIFD,3. FRS ID,Facility Name,Street Address,City,County,State,Zip,10. BIA,11. TRIBE,Latitude,Longitude,Industry Sector
2019,11105NWYRK31032,1.1E+11,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,31-03 20TH AVE,ASTORIA,QUEENS,NY,11105,,,40.77932,-73.905725,Electric Utilities
2019,11105NWYRK31032,1.1E+11,CHARLES POLETTI POWER PROJECT & 500 MW PLANT,31-03 20TH AVE,ASTORIA,QUEENS,NY,11105,,,40.77932,-73.905725,Electric Utilities
2019,1135WSCKNG3416C,1.1007E+11,USC - KINGS LLC - ON TIME,34-16 COLLEGE POINT BLVD,FLUSHING,QUEENS,NY,11354,,,40.76433,-73.836525,Nonmetallic Mineral Product
2019,1135WSCKNG3416C,1.1007E+11,USC - KINGS LLC - ON TIME,34-16 COLLEGE POINT BLVD,FLUSHING,QUEENS,NY,11354,,,40.76433,-73.836525,Nonmetallic Mineral Product
2019,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,,,40.80155,-73.90631,Petroleum Bulk Terminals
2019,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,,,40.80155,-73.90631,Petroleum Bulk Terminals
2019,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,,,40.80155,-73.90631,Petroleum Bulk Terminals
2019,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,,,40.80155,-73.90631,Petroleum Bulk Terminals
2019,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,,,40.80155,-73.90631,Petroleum Bulk Terminals
2019,10454CSTLL939E1,1.10013E+11,SPRAGUE BRONX TERMINAL,939 E 138TH ST,BRONX,BRONX,NY,10454,,,40.80155,-73.90631,Petroleum Bulk Terminals
2019,11101MRCNW3930R,1.10013E+11,AMERICAN WAX CO,39-30 REVIEW AVE,LONG ISLAND CITY,QUEENS,NY,11101,,,40.729748,-73.932425,Chemicals
